"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Ondansetron|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Ondansetron|Concentration in container [µmol/l]","Organism|Lumen|Ondansetron|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.7395207,2.002447,0
0,6,1.067956,0.8015337,0
0,9,0.6540654,0.5135497,0
0,12,0.4486926,0.4015927,0
0,15,0.3424406,0.3362755,0
0,18,0.2820874,0.2908432,0
0,21,0.2435809,0.2562954,0
0,24,0.2164037,0.2290019,0
0,27,0.1958944,0.2071091,0
0,30,0.1798252,0.1894217,0
0,33,0.1669784,0.1750543,0
0,36,0.1565785,0.1633136,0
0,39,0.1480829,0.153652,0
0,42,0.1410834,0.1456358,0
0,45,0.1352633,0.138923,0
0,48,0.1303764,0.1332452,0
0,51,0.1262298,0.1283918,0
0,54,0.122672,0.1241974,0
0,57,0.1195844,0.1205324,0
0,60,0.1168738,0.1172951,0
0,63,0.1144675,0.1144054,0
0,66,0.1123077,0.1118,0
0,69,0.1103492,0.1094288,0
0,72,0.1085559,0.1072522,0
0,75,0.1068996,0.1052386,0
0,78,0.1053576,0.1033628,0
0,81,0.1039117,0.1016042,0
0,84,0.1025471,0.09994629,0
0,87,0.1012522,0.09837578,0
0,90,0.1000176,0.0968819,0
0,93,0.09883563,0.0954558,0
0,96,0.09770001,0.09409019,0
0,99,0.09660555,0.09277896,0
0,102,0.09554793,0.09151693,0
0,105,0.09452355,0.09029979,0
0,108,0.09352938,0.08912382,0
0,111,0.09256291,0.08798593,0
0,114,0.09162197,0.0868834,0
0,117,0.0907047,0.08581383,0
0,120,0.08980948,0.08477513,0
0,135,0.08561918,0.0799853,0
0,150,0.08182174,0.07575293,0
0,165,0.07833806,0.0719639,0
0,180,0.07511362,0.0685363,0
0,195,0.07210826,0.06540833,0
0,210,0.06929099,0.06253172,0
0,225,0.06663744,0.05986842,0
0,240,0.06412819,0.05738806,0
0,255,0.06174742,0.05506615,0
0,270,0.05948212,0.05288274,0
0,285,0.05732153,0.05082156,0
0,300,0.05525675,0.04886934,0
0,315,0.0532803,0.04701518,0
0,330,0.05138579,0.04524994,0
0,345,0.0495677,0.04356593,0
0,360,0.04782126,0.04195668,0
0,375,0.04614232,0.04041666,0
0,390,0.04452718,0.03894114,0
0,405,0.04297256,0.037526,0
0,420,0.04147549,0.03616761,0
0,435,0.04003329,0.03486279,0
0,450,0.0386435,0.03360868,0
0,465,0.03730386,0.03240272,0
0,480,0.03601227,0.0312426,0
0,495,0.03476677,0.03012616,0
0,510,0.03356553,0.02905148,0
0,525,0.0324068,0.02801668,0
0,540,0.03128895,0.02702012,0
0,555,0.03021044,0.02606018,0
0,570,0.0291698,0.0251354,0
0,585,0.02816563,0.02424438,0
0,600,0.02719659,0.02338578,0
0,615,0.02626141,0.02255838,0
0,630,0.02535886,0.02176094,0
0,645,0.02448776,0.02099233,0
0,660,0.023647,0.02025148,0
0,675,0.02283547,0.01953729,0
0,690,0.02205214,0.01884882,0
0,705,0.021296,0.01818506,0
0,720,0.02056608,0.0175451,0
0,735,0.01986147,0.01692807,0
0,750,0.01918126,0.01633313,0
0,765,0.0185246,0.01575946,0
0,780,0.01789066,0.01520629,0
0,795,0.01727865,0.01467287,0
0,810,0.0166878,0.01415849,0
0,825,0.01611736,0.01366244,0
0,840,0.01556663,0.01318406,0
0,855,0.01503491,0.01272272,0
0,870,0.01452153,0.01227777,0
0,885,0.01402585,0.01184864,0
0,900,0.01354726,0.01143474,0
0,915,0.01308516,0.01103553,0
0,930,0.01263896,0.01065046,0
0,945,0.01220813,0.01027904,0
0,960,0.01179211,0.009920773,0
0,975,0.01139041,0.009575179,0
0,990,0.01100251,0.009241806,0
0,1005,0.01062795,0.008920214,0
0,1020,0.01026625,0.00860998,0
0,1035,0.009916971,0.008310693,0
0,1050,0.009579681,0.008021963,0
0,1065,0.009253962,0.007743408,0
0,1080,0.008939412,0.007474663,0
0,1095,0.008635647,0.007215377,0
0,1110,0.00834229,0.006965212,0
0,1125,0.008058982,0.00672384,0
0,1140,0.007785375,0.006490949,0
0,1155,0.007521133,0.006266234,0
0,1170,0.007265934,0.006049405,0
0,1185,0.007019463,0.005840181,0
0,1200,0.006781421,0.00563829,0
0,1215,0.006551515,0.005443472,0
0,1230,0.006329467,0.005255476,0
0,1245,0.006115003,0.005074058,0
0,1260,0.005907862,0.004898984,0
0,1275,0.005707791,0.004730028,0
0,1290,0.005514549,0.004566975,0
0,1305,0.005327899,0.004409616,0
0,1320,0.005147612,0.004257746,0
0,1335,0.004973469,0.004111169,0
0,1350,0.004805263,0.003969704,0
0,1365,0.004642786,0.003833166,0
0,1380,0.004485841,0.00370138,0
0,1395,0.004334238,0.003574178,0
0,1410,0.004187795,0.003451401,0
0,1425,0.004046334,0.003332891,0
0,1440,0.003909685,0.003218497,0
