"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Ondansetron|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Ondansetron|Concentration in container [µmol/l]","Organism|Kidney|Urine|Ondansetron|Fraction excreted to urine","Organism|Lumen|Ondansetron|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.2465062,0.6674843,0.000443701,0
0,6,0.4213564,0.794596,0.001670836,0
0,9,0.5329837,0.8870136,0.003315,0
0,12,0.6130887,0.9618871,0.005223323,0
0,15,0.6763666,1.02558,0.007329305,0
0,18,0.4831289,0.4136364,0.009153894,0
0,21,0.3548637,0.3357319,0.01033454,0
0,24,0.2849529,0.2874814,0.01122092,0
0,27,0.2428122,0.2527058,0.01195301,0
0,30,0.2145333,0.2258249,0.01258689,0
0,33,0.1938852,0.2044251,0.01314953,0
0,36,0.1779888,0.1871679,0.01365695,0
0,39,0.1653772,0.1731469,0.01412029,0
0,42,0.1551989,0.1616806,0.01454795,0
0,45,0.1468911,0.1522367,0.01494644,0
0,48,0.140044,0.1443944,0.01532092,0
0,51,0.1343475,0.137822,0.01567545,0
0,54,0.1295605,0.1322585,0.01601328,0
0,57,0.1254947,0.1274988,0.01633698,0
0,60,0.122003,0.123382,0.0166486,0
0,63,0.1189702,0.1197819,0.01694978,0
0,66,0.1163053,0.1165993,0.01724184,0
0,69,0.1139372,0.1137561,0.01752585,0
0,72,0.11181,0.1111907,0.01780269,0
0,75,0.1098793,0.1088543,0.01807305,0
0,78,0.1081101,0.106708,0.01833754,0
0,81,0.1064745,0.1047208,0.01859664,0
0,84,0.1049504,0.1028681,0.01885076,0
0,87,0.1035201,0.1011302,0.01910025,0
0,90,0.1021697,0.09949105,0.0193454,0
0,93,0.1008876,0.09793776,0.01958646,0
0,96,0.0996647,0.09645968,0.01982367,0
0,99,0.09849335,0.09504811,0.0200572,0
0,102,0.09736744,0.09369589,0.02028723,0
0,105,0.09628195,0.09239709,0.02051392,0
0,108,0.0952327,0.09114676,0.02073739,0
0,111,0.09421618,0.08994062,0.02095778,0
0,114,0.09322946,0.0887751,0.0211752,0
0,117,0.09226996,0.08764703,0.02138975,0
0,120,0.0913355,0.08655366,0.02160152,0
0,135,0.08698302,0.08153526,0.02262171,0
0,150,0.08306183,0.07712722,0.02358369,0
0,165,0.07947829,0.0731974,0.02449442,0
0,180,0.07617092,0.06965462,0.02535936,0
0,195,0.07309509,0.06643075,0.02618294,0
0,210,0.07021711,0.06347348,0.02696881,0
0,225,0.06751067,0.06074169,0.02772004,0
0,240,0.06495468,0.05820243,0.02843922,0
0,255,0.06253206,0.05582924,0.02912855,0
0,270,0.06022901,0.05360083,0.02978996,0
0,285,0.0580342,0.05149992,0.03042512,0
0,300,0.05593812,0.04951231,0.03103551,0
0,315,0.05393276,0.04762623,0.03162243,0
0,330,0.05201137,0.04583197,0.03218707,0
0,345,0.05016819,0.0441214,0.0327305,0
0,360,0.04839821,0.04248769,0.0332537,0
0,375,0.04669707,0.04092499,0.03375756,0
0,390,0.04506092,0.03942831,0.03424293,0
0,405,0.04348637,0.03799334,0.03471057,0
0,420,0.04197034,0.03661631,0.03516122,0
0,435,0.04051007,0.0352939,0.03559555,0
0,450,0.03910301,0.03402312,0.03601421,0
0,465,0.03774682,0.03280132,0.0364178,0
0,480,0.03643937,0.03162608,0.03680692,0
0,495,0.03517864,0.03049521,0.0371821,0
0,510,0.03396275,0.0294067,0.03754387,0
0,525,0.03278995,0.02835871,0.03789274,0
0,540,0.03165858,0.02734951,0.03822918,0
0,555,0.03056707,0.02637747,0.03855365,0
0,570,0.02951391,0.02544109,0.03886659,0
0,585,0.02849769,0.02453892,0.03916843,0
0,600,0.02751704,0.02366962,0.03945957,0
0,615,0.02657066,0.0228319,0.0397404,0
0,630,0.02565731,0.02202454,0.04001129,0
0,645,0.02477581,0.02124638,0.0402726,0
0,660,0.023925,0.02049633,0.04052469,0
0,675,0.0231038,0.01977333,0.04076787,0
0,690,0.02231114,0.01907635,0.04100248,0
0,705,0.02154601,0.01840442,0.04122882,0
0,720,0.02080746,0.01775667,0.04144718,0
0,735,0.02009452,0.01713213,0.04165787,0
0,750,0.01940626,0.01652992,0.04186114,0
0,765,0.01874184,0.01594926,0.04205727,0
0,780,0.0181004,0.01538933,0.04224651,0
0,795,0.01748113,0.01484936,0.04242912,0
0,810,0.01688327,0.01432865,0.04260531,0
0,825,0.01630606,0.01382651,0.04277534,0
0,840,0.01574879,0.01334226,0.0429394,0
0,855,0.01521077,0.01287525,0.04309772,0
0,870,0.01469131,0.01242488,0.0432505,0
0,885,0.01418978,0.01199052,0.04339793,0
0,900,0.01370554,0.01157159,0.04354021,0
0,915,0.01323799,0.01116753,0.04367752,0
0,930,0.01278655,0.01077781,0.04381004,0
0,945,0.01235064,0.01040188,0.04393793,0
0,960,0.01192972,0.01003927,0.04406136,0
