"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Ondansetron|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Ondansetron|Concentration in container [µmol/l]","Organism|Kidney|Urine|Ondansetron|Fraction excreted to urine","Organism|Lumen|Ondansetron|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.554639,1.501839,0.0003327758,0
0,6,0.9480545,1.787846,0.001253122,0
0,9,1.199204,1.995768,0.002486275,0
0,12,1.379446,2.164246,0.003917501,0
0,15,1.521823,2.307554,0.005496982,0
0,18,1.641676,2.432516,0.007198204,0
0,21,1.599396,1.356554,0.008980107,0
0,24,1.131687,1.031989,0.01030961,0
0,27,0.8828338,0.8697659,0.01124506,0
0,30,0.7395172,0.7603028,0.01199261,0
0,33,0.6478007,0.678087,0.01263124,0
0,36,0.5831626,0.613356,0.01319524,0
0,39,0.5344008,0.5613329,0.01370298,0
0,42,0.496119,0.5191139,0.01416625,0
0,45,0.465374,0.4845993,0.01459364,0
0,48,0.4403354,0.4561799,0.01499175,0
0,51,0.4197191,0.4325859,0.01536578,0
0,54,0.4025737,0.4128205,0.01571982,0
0,57,0.3881758,0.3960989,0.01605711,0
0,60,0.3759544,0.3818012,0.01638024,0
0,63,0.3654646,0.3694427,0.01669128,0
0,66,0.3563586,0.3586423,0.01699188,0
0,69,0.3483626,0.3490995,0.01728335,0
0,72,0.3412606,0.3405784,0.01756679,0
0,75,0.3348834,0.3328929,0.01784305,0
0,78,0.3290974,0.325896,0.01811286,0
0,81,0.3237974,0.3194706,0.0183768,0
0,84,0.3188993,0.3135239,0.01863536,0
0,87,0.3143364,0.3079813,0.01888896,0
0,90,0.3100559,0.3027832,0.01913794,0
0,93,0.3060148,0.2978815,0.01938258,0
0,96,0.302179,0.2932371,0.01962316,0
0,99,0.2985206,0.2888182,0.01985989,0
0,102,0.2950164,0.2845981,0.02009296,0
0,105,0.291648,0.2805554,0.02032255,0
0,108,0.2884005,0.2766723,0.0205488,0
0,111,0.2852613,0.2729339,0.02077185,0
0,114,0.2822199,0.2693276,0.02099183,0
0,117,0.2792675,0.2658426,0.02120885,0
0,120,0.2763966,0.2624695,0.02142301,0
0,135,0.2630684,0.2470352,0.02245401,0
0,150,0.2511037,0.2335254,0.0234254,0
0,165,0.2401926,0.221509,0.02434444,0
0,180,0.2301381,0.2106958,0.02521682,0
0,195,0.2207991,0.2008713,0.02604715,0
0,210,0.2120696,0.1918715,0.02683918,0
0,225,0.2038671,0.1835674,0.02759608,0
0,240,0.1961258,0.1758564,0.02832051,0
0,255,0.188793,0.1686564,0.02901474,0
0,270,0.1818257,0.1619012,0.02968074,0
0,285,0.1751886,0.155537,0.03032021,0
0,300,0.1688522,0.1495193,0.03093466,0
0,315,0.1627917,0.1438116,0.03152544,0
